"#","Test Question","Agent Response","Test Answer","Test Replace","Action","Agent Answer Choice ID","Agent Answer Confidence",
"1","Which Faq are you using","Version 20171026","Version 20171026","","1.0","0","0.5",
"63","How does this course utilize Project Based Learning strategies","This class has three projects, each of which build on the previous one, and the overall goals and motivations of KBAI are presented through these projects.","This class has three projects, each of which build on the previous one, and the overall goals and motivations of KBAI are presented through these projects.","","1.0","20","0.7503076399135357",
"64","Is Collaborative Learning allowed","We encourage collaboration and the development of communities of practice surrounding the course material and projects. We are excited to see students borrow one another’s ideas and build on them, as well as spin off on their own study groups.","We encourage collaboration and the development of communities of practice surrounding the course material and projects. We are excited to see students borrow one another’s ideas and build on them, as well as spin off on their own study groups.","","1.0","21","0.6983177988217727",
"65","How does Peer-to-Peer Learning work","During this class, students will give their peers feedback on their work for completed assignments. This lets students see additional approaches to the problems, provides extra feedback, and puts students in the position of a teacher, which has been shown to be a pedagogically useful role reversal.","During this class, students will give their peers feedback on their work for completed assignments. This lets students see additional approaches to the problems, provides extra feedback, and puts students in the position of a teacher, which has been shown to be a pedagogically useful role reversal.","","1.0","22","0.4785529760816882",
"66","How does this course encourage Self-Reflection","At the conclusion of each lesson, each student is asked to reflect on what they learned in the class. Each design project requires the writing of a project reflection that explains and critiques, and reflects on the student’s work on the project.","At the conclusion of each lesson, each student is asked to reflect on what they learned in the class. Each design project requires the writing of a project reflection that explains and critiques, and reflects on the student’s work on the project.","","1.0","23","0.6498721533696664",
"67","How does this course ensure Authenticity","The project that is explored in this class is an open research question in the AI and Cognitive Systems research communities. Two students from our lab have completed dissertations working on these questions in the past two years, and we have had papers published on these topics within the past several months.","The project that is explored in this class is an open research question in the AI and Cognitive Systems research communities. Two students from our lab have completed dissertations working on these questions in the past two years, and we have had papers published on these topics within the past several months.","","1.0","24","0.6944480843163677",
"68","How many projects does this course have","This class has three projects.","This class has three projects.","","1.0","25","0.4992321222362135",
"69","Where can I find more information on learning goals, strategies, and outcomes","More information can be found in the Technical Report.","More information can be found in the Technical Report.","","1.0","26","0.764970405389458",
"70","Can I watch lectures in advance","Students are welcome and encouraged to proceed at their own pace throughout the lessons, including viewing them outside of the designed order to better align with their interests.","Students are welcome and encouraged to proceed at their own pace throughout the lessons, including viewing them outside of the designed order to better align with their interests.","","1.0","27","0.7387247151749571",
"71","Can I discuss completed assignments with other students","Absolutely! Students will give and receive peer feedback for completed assignments. We encourage a collaborative learning environment.","Absolutely! Students will give and receive peer feedback for completed assignments. We encourage a collaborative learning environment.","","1.0","28","0.8064592190333428",
"72","Is Python or Java required for this course","Yes","Yes","","1.0","29","0.6872300878774344",
"73","Can I use a language other than Python or Java","No","No","","1.0","30","0.8231138429808071",
"74","How many essays will I have to write","8. Three Assignments, three reflection reports and two examinations.","8. Three Assignments, three reflection reports and two examinations.","","1.0","31","0.7063051746486366",
"75","How can I engage with my classmates","You can engage with your classmates through Piazza Forum, Peer Feedback and sharing of exemplary assignments.","You can engage with your classmates through Piazza Forum, Peer Feedback and sharing of exemplary assignments.","","1.0","32","0.7409749778514819",
"76","Will I have to work independently","Yes. You will have to work independently on design, programming and reflections.","Yes. You will have to work independently on design, programming and reflections.","","1.0","33","0.6158478415500414",
"77","Will I have to do additional reading for this class","Yes","Yes","","1.0","34","0.6116071203776261",
"78","Are the deadlines for assignments fixed","Yes","Yes","","1.0","35","0.6492941724983452",
"79","How much time does the class demand","The class demands significant amount of time and energy on a regular basis.","The class demands significant amount of time and energy on a regular basis.","","1.0","36","0.7178710489979744",
"80","Will I have to adhere to Georgia Tech code of conduct to take this class","Yes","Yes","","1.0","37","0.8372868514604263",
"81","Where can I find the reading list","Readings will either be publicly available on-line or will be provided to you in the T-Square Resources section for this class.","Readings will either be publicly available on-line or will be provided to you in the T-Square Resources section for this class.","","1.0","38","0.4453321870592897",
"82","How will I know which readings relate to which lectures","It will be provided in the description of video lecture, project / you can always ask the TA's.","It will be provided in the description of video lecture, project / you can always ask the TA's.","","1.0","39","0.7295361301901115",
"83","Are the readings mandatory","It is not mandatory, but is strongly recommended as it will help improve the understanding of the subject.","It is not mandatory, but is strongly recommended as it will help improve the understanding of the subject.","","1.0","40","0.6118575166459553",
"84","Can we ask for clarification on reading list materials","Yes.","Yes.","","1.0","41","0.7957287829005449",
"85","How many sets of reading list are there","Two - one for project  another for video lectures.","Two - one for project  another for video lectures.","","1.0","42","0.5265041183512941",
"86","What is the scope of these reading sets","The readings accompanying the videos add depth to the lessons: for example, they cover algorithms for  the conceptual methods discussed in the videos. Similarly, the readings accompanying the projects describe the conceptual and algorithmic basis for the projects.","The readings accompanying the videos add depth to the lessons: for example, they cover algorithms for  the conceptual methods discussed in the videos. Similarly, the readings accompanying the projects describe the conceptual and algorithmic basis for the projects.","","1.0","43","0.6571779480804806",
"87","Is there an order to be followed for the reading list","Reading after completion of the specific chapter will help in better understanding, but if you wish you can read ahead of time or after sometime.","Reading after completion of the specific chapter will help in better understanding, but if you wish you can read ahead of time or after sometime.","","1.0","44","0.7234534543673907",
"88","Can we request for more reading papers","Yes.","Yes.","","1.0","45","0.766803872714079",
"89","What components will determine final grades","Your final grade will be determined by 3 written assignments worth 12%, 3 programming assignments worth 45%, 2 unproctored exams worth 35% and 24 peer feedback activities worth 8%.","Your final grade will be determined by 3 written assignments worth 12%, 3 programming assignments worth 45%, 2 unproctored exams worth 35% and 24 peer feedback activities worth 8%.","","1.0","46","0.6467911746756838",
"90","When can we expect to receive grades after a submission","2 weeks after the original submission","2 weeks after the original submission","","1.0","47","0.8206530442196858",
"91","Do the grades assigned to me by peers affect my grade","No. The primary purpose of supplying the graders with the results of the peer feedback process is to help the graders ensure every student gets useful feedback, as well as to ensure that the peer feedback received is accurate.","No. The primary purpose of supplying the graders with the results of the peer feedback process is to help the graders ensure every student gets useful feedback, as well as to ensure that the peer feedback received is accurate.","","1.0","48","0.8233602853331807",
"92","How will grades be released","Grades will generally be released via both T-Square and Peer Feedback. Written feedback from the graders, however, will only be released via Peer Feedback. For Projects, sub-scores for your agent's performance on the problems and for your project reflection will be returned via the assignment submission page, and the overall project score will be posted to the grade book. Check marks for Peer Feedback participation will be provided throughout the semester via the assignment submission pages for those tasks, and a final Peer Feedback score (based both on completion and quality of participation) will be assigned at the end of the semester.","Grades will generally be released via both T-Square and Peer Feedback. Written feedback from the graders, however, will only be released via Peer Feedback. For Projects, sub-scores for your agent's performance on the problems and for your project reflection will be returned via the assignment submission page, and the overall project score will be posted to the grade book. Check marks for Peer Feedback participation will be provided throughout the semester via the assignment submission pages for those tasks, and a final Peer Feedback score (based both on completion and quality of participation) will be assigned at the end of the semester.","","1.0","49","0.5906065911213657",
"93","Are there fixed thresholds for grades","No.","No.","","1.0","50","0.6526730206037477",
"94","Will there be curving of grade","Yes","Yes.","","-0.5","51","0.6227942842988908",
"95","What have the grade statistics for this class been in the past","For the Fall 2015 KBAI class, the average was in the low 80's, and only about 10% of the class ended with a raw score over 90; well over half the class still received an A, though","For the Fall 2015 KBAI class, the average was in the low 80's, and only about 10% of the class ended with a raw score over 90; well over half the class still received an A, though","","1.0","52","0.7804541676690585",
"96","What are the individual weights of the 2 unproctored exams","15% for mid-term exam and 20% for final exam","15% for mid-term exam and 20% for final exam","","1.0","53","0.7405281191990294",
"97","What should I do to get good grades on this class","We encourage you to focus first on doing the best you can on all assignments; if you do, your grade should take care of itself.","We encourage you to focus first on doing the best you can on all assignments; if you do, your grade should take care of itself.","","1.0","54","0.7287871919263386",
"98","How many assignments are in the class","I do not know.","There will be 3 assignments in the course.","","-0.5","55","0.35983289567924814",
"99","What is the word limit for each assignment","Each assignment should be approximately 1,000 words (neither a minimum nor a maximum, just a heuristic)","Each assignment should be approximately 1,000 words (neither a minimum nor a maximum, just a heuristic)","","1.0","56","0.694542317629259",
"100","What topics do the assignments cover","Each assignment relates to a certain topic or set of topics in the course material to some problem. For Assignments 1 the problem should be the class project. For Assignments 2, we will provide a list of problems that you can choose from. For Assignments 3, you may choose from that same list, or you may select a problem of your own.","Each assignment relates to a certain topic or set of topics in the course material to some problem. For Assignments 1 the problem should be the class project. For Assignments 2, we will provide a list of problems that you can choose from. For Assignments 3, you may choose from that same list, or you may select a problem of your own.","","1.0","57","0.7023808094643771",
"101","What advantages does peer-to-peer feedback provide me","Peer-to-peer feedback provides a number of opportunities: it gives you the opportunity to see your classmates' work, it gets you more feedback on your work than you would otherwise receive, and it puts you in the position of critiquing and analyzing course material.","Peer-to-peer feedback provides a number of opportunities: it gives you the opportunity to see your classmates' work, it gets you more feedback on your work than you would otherwise receive, and it puts you in the position of critiquing and analyzing course material.","","1.0","58","0.6912128548894262",
"102","How do I participate in peer-to-peer feedback","We will use a tool called Peer Feedback -- peerfeedback.gatech.edu -- to give peer-to-peer feedback in this class.","We will use a tool called Peer Feedback -- peerfeedback.gatech.edu -- to give peer-to-peer feedback in this class.","","1.0","59","0.5393428002706707",
"103","How often will I be required to provide peer-to-peer feedback","You will give peer-to-peer feedback to your classmates on all six assignments (including the three you do not personally complete) and on all three project reflections.","You will give peer-to-peer feedback to your classmates on all six assignments (including the three you do not personally complete) and on all three project reflections.","","1.0","60","0.5559379122530786",
"104","How does peer-to-peer feedback impact our grade on the assignment","Peers will evaluate one another on the same rubric that graders will use; however, the scores you assign to your peers will not factor into their actual grades on the assignment.","Peers will evaluate one another on the same rubric that graders will use; however, the scores you assign to your peers will not factor into their actual grades on the assignment.","","1.0","61","0.734521831462382",
"105","Do the TAs look at the feedback","TAs will see the feedback you give to your peers in order to ensure that all students receive adequate feedback.","TAs will see the feedback you give to your peers in order to ensure that all students receive adequate feedback.","","1.0","62","0.7666916389284111",
"106","How much of my grade depends on completing peer feedback","Completing peer feedback exercises is 8% of your average.","Completing peer feedback exercises is 8% of your average.","","1.0","63","0.768815607288296",
"107","Does the quality of feedback I provide matter","Your peer feedback average will be determined not only based on whether or not you completed all assigned peer feedback exercises, but also based on the quality of the feedback you provided as evaluated by the TAs and by the recipients of the feedback.","Your peer feedback average will be determined not only based on whether or not you completed all assigned peer feedback exercises, but also based on the quality of the feedback you provided as evaluated by the TAs and by the recipients of the feedback.","","1.0","64","0.7153252546309994",
"108","How will the exams be distributed","Both exams will be an unproctored, untimed, "take-home" tests.","Both exams will be an unproctored, untimed, "take-home" tests.","","1.0","65","0.60420095232287",
"109","What format will the exams be given in","Both exams will consist of a number of different questions asking you to synthesize multiple parts of the course material.","Both exams will consist of a number of different questions asking you to synthesize multiple parts of the course material.","","1.0","66","0.6509989004554612",
"110","What are the ways in which new class information will be sent","A T-Square announcement with an email notification and a pinned Piazza announcement in the ‘announcements’ folder with an email notification.","A T-Square announcement with an email notification and a pinned Piazza announcement in the ‘announcements’ folder with an email notification.","","1.0","67","0.8089769280081319",
"111","How often should you check your Georgia Tech email","Once every 24 hours","Once every 24 hours","","1.0","68","0.816700963942457",
"112","Where should you preferably post your questions","Piazza","Piazza","","1.0","69","0.7881493042842167",
"113","What questions are better suited for office hours","Conversational discussions on course material and discussions about individuals' grades.","Conversational discussions on course material and discussions about individuals' grades.","","1.0","70","0.7339796681714071",
"114","Why is Piazza preferred for asking questions related to the class","Posting on piazza opens up the question to input from everyone in the class and creates a self-documenting history of the answer to the question.","Posting on piazza opens up the question to input from everyone in the class and creates a self-documenting history of the answer to the question.","","1.0","71","0.8304108270036478",
"115","Why do we use Piazza","Posting on piazza opens up the question to input from everyone in the class and creates a self-documenting history of the answer to the question.","Posting on piazza opens up the question to input from everyone in the class and creates a self-documenting history of the answer to the question.","","1.0","71","0.5909090909090908",
"116","How often will office hours be held","Weekly","Weekly","","1.0","72","0.6553192767605343",
"117","How frequent are office hours held","Weekly","Weekly","","1.0","72","0.5768364820300128",
"118","Will office hours be recorded and posted","No, but if there is anything relevant to the whole class it will be recorded and posted on Piazza","No, but if there is anything relevant to the whole class it will be recorded and posted on Piazza","","1.0","73","0.7061234059556457",
"119","How should you reach out to instructors about private issues like grades","Post a private Piazza message visible only to the instructors","Post a private Piazza message visible only to the instructors","","1.0","74","0.8731261004535722",
"120","How will I be able to participate in office hours","Via the Webex link available on Piazza","Via the Webex link available on Piazza","","1.0","75","0.6574114239697256",
"121","How can I join office hours","I do not know.","Via the Webex link available on Piazza","","-0.5","76","0.28128137110297297",
"122","How do I join office hours","I do not know.","Via the Webex link available on Piazza","","-0.5","76","0.28128137110297297",
"123","How can I participate in office hours","Via the Webex link available on Piazza","Via the Webex link available on Piazza","","1.0","75","0.4343228138584554",
"124","How can I attend office hours","I do not know.","Via the Webex link available on Piazza","","-0.5","76","0.28128137110297297",
"125","What is the purpose of office hours","Synchronous office hours are intended for conversations about individual projects, discussions about course material, etc. rather than straightforward question and answer.","Synchronous office hours are intended for conversations about individual projects, discussions about course material, etc. rather than straightforward question and answer.","","1.0","76","0.6091548090865782",
"126","Where will exemplary assignments be posted","Exemplary assignments, once available, will be posted on piazza for everyone to see.","Exemplary assignments, once available, will be posted on piazza for everyone to see.","","1.0","77","0.5926831732405135",
"127","What is the point of posting exemplary assignments","From previous semesters, we have found that posting exemplary assignments allow for greater peer-to-peer learning and fosters a community of learners.","From previous semesters, we have found that posting exemplary assignments allow for greater peer-to-peer learning and fosters a community of learners.","","1.0","78","0.7311122096736674",
"128","Is late work accepted","Due to the size of the class and limited resources, late work will not be accepted.","Due to the size of the class and limited resources, late work will not be accepted.","","1.0","79","0.7031411293503764",
"129","What should I do if I am having issues submitting my work","If you are having issue submitting on T-square, immediately post a private note on Piazza with your submission.","If you are having issue submitting on T-square, immediately post a private note on Piazza with your submission.","","1.0","80","0.7828333679997506",
"130","What if I have an emergency and cannot submit my work on time","If you have an emergency and cannot submit your work by the deadline, we ask that you go through the Dean of Student's office","If you have an emergency and cannot submit your work by the deadline, we ask that you go through the Dean of Student's office","","1.0","81","0.8115301879036962",
"131","What kind of issues can I bring up to the Dean of Student's office","Justifiable excuses would involve any major unforeseen disruption to your classwork such as illness, injuries, death, and birth, all for either you or your family","Justifiable excuses would involve any major unforeseen disruption to your classwork such as illness, injuries, death, and birth, all for either you or your family","","1.0","82","0.7907659848306979",
"132","What kind of conflict am I liable for","Conflicts such as weddings, business trips, and conference, you should complete your work in advance. That is why all of the assignments and project resources are provided to you at the start of the semester.","Conflicts such as weddings, business trips, and conference, you should complete your work in advance. That is why all of the assignments and project resources are provided to you at the start of the semester.","","1.0","83","0.738824124056559",
"133","Is this course the same as the previous semesters","No. every semester is a learning experience. Each subsequent semesters benefit from the lessons learned the previous semesters.","No. every semester is a learning experience. Each subsequent semesters benefit from the lessons learned the previous semesters.","","1.0","84","0.8048392967534669",
"134","Can I provide the teaching staff feedback on how I think that the course is going","Absolutely! In fact, we encourage students to provide feedback on things that work, and things that could be done better.","Absolutely! In fact, we encourage students to provide feedback on things that work, and things that could be done better.","","1.0","85","0.8438183744216606",
