#,Test Question,Agent Response,Test Answer,Test Replace,Action,Agent Answer Choice ID,Agent Answer Confidence
1,Which Faq are you using,I do not know.,Version 20171026,,-0.5,67,0.35
37,Are there more reading,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",Yes,,-0.5,5,0.75
38,Will we be required to do additional reading,Yes,Yes,,1,34,0.635294118
39,Will there be more readings,I do not know.,Yes,,-0.5,51,0.545454545
40,"Besides lectures, do we need to study anything else",I do not know.,Yes.,,-0.5,12,0.375
41,Who will give peer feedback,"We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.",,1,6,1
42,How much peer feedback is expected,Completing peer feedback exercises is 8% of your average.,"We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.",,-0.5,63,0.5
43,Will I need to perform peer reviews,"Yes. You will have to work independently on design, programming and reflections.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.",,-0.5,33,0.523076923
44,How many peer reviews will I need to do,"8. Three Assignments, three reflection reports and two examinations.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.",,-0.5,31,0.635294118
45,Who will perform peer reviews,"We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.","We will expect each student to give feedback on the work of 3 randomly selected peers for each of the 8 assignments. We will also select and share the best assignments, which will form another kind of peer feedback.",,1,6,0.6
46,Where do I go for announcements,"We will use the Piazza forum for announcements, question answering, discussions, and collaboration.","We will use the Piazza forum for announcements, question answering, discussions, and collaboration.",,1,7,1
47,Do I need to log into Piazza regularly,"It is important that you log into Piazza regularly and frequently (at least two or three times a week, daily if possible).","It is important that you log into Piazza regularly and frequently (at least two or three times a week, daily if possible).",,1,8,1
48,How many writing components are there,"The course includes 8 writing components: 3 assignments, 2 take home examinations, and 3 projects.","The course includes 8 writing components: 3 assignments, 2 take home examinations, and 3 projects.",,1,9,1
49,How are examinations given,The examinations will involve significant amount of essay writing and will test knowledge on the video lessons and accompanying readings.,The examinations will involve significant amount of essay writing and will test knowledge on the video lessons and accompanying readings.,,1,10,1
50,How many exams are there,The course includes 2 take home examinations. A Mid-Term Exam and a Final Exam.,The course includes 2 take home examinations. A Mid-Term Exam and a Final Exam.,,1,11,1
51,Is there any exam,The course includes 2 take home examinations. A Mid-Term Exam and a Final Exam.,The course includes 2 take home examinations. A Mid-Term Exam and a Final Exam.,,1,11,0.5
52,Do I need to know computer vision,The projects do not require any specialized knowledge of computer vision or image processing.,The projects do not require any specialized knowledge of computer vision or image processing.,,1,12,1
53,Is prior knowledge of computer vision required for the projects,I do not know.,The projects do not require any specialized knowledge of computer vision or image processing.,,-0.5,29,0.425
54,Is prior knowledge of image processing required for the projects,I do not know.,The projects do not require any specialized knowledge of computer vision or image processing.,,-0.5,29,0.425
55,Are projects individual or group,Projects will be done individually.,Projects will be done individually.,,1,13,1
56,What are the primary learning goals for KBAI,"The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.","The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.",,1,14,1
57,What are the primary goals of this class,"The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.","The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.",,1,14,0.615384615
58,What is the structure of this course,"The structure of this course is driven by several pedagogical motivations: learning by example, learning by doing, project-based learning, personalization, collaborative learning, peer-to-peer learning, self-reflection and authenticity.","The structure of this course is driven by several pedagogical motivations: learning by example, learning by doing, project-based learning, personalization, collaborative learning, peer-to-peer learning, self-reflection and authenticity.",,1,15,1
59,What will I learn in this class,"At the conclusion of this class: first you will have learned to be able to design and implement a knowledge-based artificial intelligence agent that can address a complex task using the methods discussed in the course. Second, you will be able to use this agent to reflect on the process of human cognition. Third, you will be able to use both these practices to address practical problems in multiple domains.","At the conclusion of this class: first you will have learned to be able to design and implement a knowledge-based artificial intelligence agent that can address a complex task using the methods discussed in the course. Second, you will be able to use this agent to reflect on the process of human cognition. Third, you will be able to use both these practices to address practical problems in multiple domains.",,1,16,1
60,What is the Technical Report,"The Technical Report is a document that provides more detailed accounts of learning goals, strategies, and outcomes of this course.","The Technical Report is a document that provides more detailed accounts of learning goals, strategies, and outcomes of this course.",,1,17,1
61,How is this class taught,"Each topic is taught through examples of the way in which humans and artificial intelligence agents approach certain problems, often building from human thought toward AI agents and subsequently referring back to human cognition.","Each topic is taught through examples of the way in which humans and artificial intelligence agents approach certain problems, often building from human thought toward AI agents and subsequently referring back to human cognition.",,1,18,1
62,How does this course encourage Learning by Doing,"Students will participate in the reasoning within each particular lesson, and subsequently tie the topic back to a broader problem.","Students will participate in the reasoning within each particular lesson, and subsequently tie the topic back to a broader problem.",,1,19,1
63,How does this course utilize Project Based Learning strategies,"This class has three projects, each of which build on the previous one, and the overall goals and motivations of KBAI are presented through these projects.","This class has three projects, each of which build on the previous one, and the overall goals and motivations of KBAI are presented through these projects.",,1,20,1
64,Is Collaborative Learning allowed,"We encourage collaboration and the development of communities of practice surrounding the course material and projects. We are excited to see students borrow one another’s ideas and build on them, as well as spin off on their own study groups.","We encourage collaboration and the development of communities of practice surrounding the course material and projects. We are excited to see students borrow one another’s ideas and build on them, as well as spin off on their own study groups.",,1,21,1
65,How does Peer-to-Peer Learning work,"During this class, students will give their peers feedback on their work for completed assignments. This lets students see additional approaches to the problems, provides extra feedback, and puts students in the position of a teacher, which has been shown to be a pedagogically useful role reversal.","During this class, students will give their peers feedback on their work for completed assignments. This lets students see additional approaches to the problems, provides extra feedback, and puts students in the position of a teacher, which has been shown to be a pedagogically useful role reversal.",,1,22,1
66,How does this course encourage Self-Reflection,"At the conclusion of each lesson, each student is asked to reflect on what they learned in the class. Each design project requires the writing of a project reflection that explains and critiques, and reflects on the student’s work on the project.","At the conclusion of each lesson, each student is asked to reflect on what they learned in the class. Each design project requires the writing of a project reflection that explains and critiques, and reflects on the student’s work on the project.",,1,23,1
67,How does this course ensure Authenticity,"The project that is explored in this class is an open research question in the AI and Cognitive Systems research communities. Two students from our lab have completed dissertations working on these questions in the past two years, and we have had papers published on these topics within the past several months.","The project that is explored in this class is an open research question in the AI and Cognitive Systems research communities. Two students from our lab have completed dissertations working on these questions in the past two years, and we have had papers published on these topics within the past several months.",,1,24,1
68,How many projects does this course have,This class has three projects.,This class has three projects.,,1,25,1
69,"Where can I find more information on learning goals, strategies, and outcomes",More information can be found in the Technical Report.,More information can be found in the Technical Report.,,1,26,1
70,Can I watch lectures in advance,"Students are welcome and encouraged to proceed at their own pace throughout the lessons, including viewing them outside of the designed order to better align with their interests.","Students are welcome and encouraged to proceed at their own pace throughout the lessons, including viewing them outside of the designed order to better align with their interests.",,1,27,1
71,Can I discuss completed assignments with other students,Absolutely! Students will give and receive peer feedback for completed assignments. We encourage a collaborative learning environment.,Absolutely! Students will give and receive peer feedback for completed assignments. We encourage a collaborative learning environment.,,1,28,1
72,Is Python or Java required for this course,Yes,Yes,,1,29,1
73,Can I use a language other than Python or Java,No,No,,1,30,1
74,How many essays will I have to write,"8. Three Assignments, three reflection reports and two examinations.","8. Three Assignments, three reflection reports and two examinations.",,1,31,1
75,How can I engage with my classmates,"You can engage with your classmates through Piazza Forum, Peer Feedback and sharing of exemplary assignments.","You can engage with your classmates through Piazza Forum, Peer Feedback and sharing of exemplary assignments.",,1,32,1
76,Will I have to work independently,"Yes. You will have to work independently on design, programming and reflections.","Yes. You will have to work independently on design, programming and reflections.",,1,33,1
77,Will I have to do additional reading for this class,Yes,Yes,,1,34,1
78,Are the deadlines for assignments fixed,Yes,Yes,,1,35,1
79,How much time does the class demand,The class demands significant amount of time and energy on a regular basis.,The class demands significant amount of time and energy on a regular basis.,,1,36,1
80,Will I have to adhere to Georgia Tech code of conduct to take this class,Yes,Yes,,1,37,1
81,Where can I find the reading list,Readings will either be publicly available on-line or will be provided to you in the T-Square Resources section for this class.,Readings will either be publicly available on-line or will be provided to you in the T-Square Resources section for this class.,,1,38,1
82,How will I know which readings relate to which lectures,"It will be provided in the description of video lecture, project / you can always ask the TA's.","It will be provided in the description of video lecture, project / you can always ask the TA's.",,1,39,1
83,Are the readings mandatory,"It is not mandatory, but is strongly recommended as it will help improve the understanding of the subject.","It is not mandatory, but is strongly recommended as it will help improve the understanding of the subject.",,1,40,1
84,Can we ask for clarification on reading list materials,Yes.,Yes.,,1,41,1
85,How many sets of reading list are there,Two - one for project  another for video lectures.,Two - one for project  another for video lectures.,,1,42,1
86,What is the scope of these reading sets,"The readings accompanying the videos add depth to the lessons: for example, they cover algorithms for  the conceptual methods discussed in the videos. Similarly, the readings accompanying the projects describe the conceptual and algorithmic basis for the projects.","The readings accompanying the videos add depth to the lessons: for example, they cover algorithms for  the conceptual methods discussed in the videos. Similarly, the readings accompanying the projects describe the conceptual and algorithmic basis for the projects.",,1,43,1
87,Is there an order to be followed for the reading list,"Reading after completion of the specific chapter will help in better understanding, but if you wish you can read ahead of time or after sometime.","Reading after completion of the specific chapter will help in better understanding, but if you wish you can read ahead of time or after sometime.",,1,44,1
88,Can we request for more reading papers,Yes.,Yes.,,1,45,1
89,What components will determine final grades,"Your final grade will be determined by 3 written assignments worth 12%, 3 programming assignments worth 45%, 2 unproctored exams worth 35% and 24 peer feedback activities worth 8%.","Your final grade will be determined by 3 written assignments worth 12%, 3 programming assignments worth 45%, 2 unproctored exams worth 35% and 24 peer feedback activities worth 8%.",,1,46,1
90,When can we expect to receive grades after a submission,2 weeks after the original submission,2 weeks after the original submission,,1,47,1
91,Do the grades assigned to me by peers affect my grade,"No. The primary purpose of supplying the graders with the results of the peer feedback process is to help the graders ensure every student gets useful feedback, as well as to ensure that the peer feedback received is accurate.","No. The primary purpose of supplying the graders with the results of the peer feedback process is to help the graders ensure every student gets useful feedback, as well as to ensure that the peer feedback received is accurate.",,1,48,1
92,How will grades be released,"Grades will generally be released via both T-Square and Peer Feedback. Written feedback from the graders, however, will only be released via Peer Feedback. For Projects, sub-scores for your agent's performance on the problems and for your project reflection will be returned via the assignment submission page, and the overall project score will be posted to the grade book. Check marks for Peer Feedback participation will be provided throughout the semester via the assignment submission pages for those tasks, and a final Peer Feedback score (based both on completion and quality of participation) will be assigned at the end of the semester.","Grades will generally be released via both T-Square and Peer Feedback. Written feedback from the graders, however, will only be released via Peer Feedback. For Projects, sub-scores for your agent's performance on the problems and for your project reflection will be returned via the assignment submission page, and the overall project score will be posted to the grade book. Check marks for Peer Feedback participation will be provided throughout the semester via the assignment submission pages for those tasks, and a final Peer Feedback score (based both on completion and quality of participation) will be assigned at the end of the semester.",,1,49,1
93,Are there fixed thresholds for grades,No.,No.,,1,50,1
94,Will there be curving of grade,Yes,Yes.,,-0.5,51,1
95,What have the grade statistics for this class been in the past,"For the Fall 2015 KBAI class, the average was in the low 80's, and only about 10% of the class ended with a raw score over 90; well over half the class still received an A, though","For the Fall 2015 KBAI class, the average was in the low 80's, and only about 10% of the class ended with a raw score over 90; well over half the class still received an A, though",,1,52,1
96,What are the individual weights of the 2 unproctored exams,15% for mid-term exam and 20% for final exam,15% for mid-term exam and 20% for final exam,,1,53,1
97,What should I do to get good grades on this class,"We encourage you to focus first on doing the best you can on all assignments; if you do, your grade should take care of itself.","We encourage you to focus first on doing the best you can on all assignments; if you do, your grade should take care of itself.",,1,54,1
98,How many assignments are in the class,There will be 3 assignments in the course.,There will be 3 assignments in the course.,,1,55,1
99,What is the word limit for each assignment,"Each assignment should be approximately 1,000 words (neither a minimum nor a maximum, just a heuristic)","Each assignment should be approximately 1,000 words (neither a minimum nor a maximum, just a heuristic)",,1,56,1
100,What topics do the assignments cover,"Each assignment relates to a certain topic or set of topics in the course material to some problem. For Assignments 1 the problem should be the class project. For Assignments 2, we will provide a list of problems that you can choose from. For Assignments 3, you may choose from that same list, or you may select a problem of your own.","Each assignment relates to a certain topic or set of topics in the course material to some problem. For Assignments 1 the problem should be the class project. For Assignments 2, we will provide a list of problems that you can choose from. For Assignments 3, you may choose from that same list, or you may select a problem of your own.",,1,57,1
101,What advantages does peer-to-peer feedback provide me,"Peer-to-peer feedback provides a number of opportunities: it gives you the opportunity to see your classmates' work, it gets you more feedback on your work than you would otherwise receive, and it puts you in the position of critiquing and analyzing course material.","Peer-to-peer feedback provides a number of opportunities: it gives you the opportunity to see your classmates' work, it gets you more feedback on your work than you would otherwise receive, and it puts you in the position of critiquing and analyzing course material.",,1,58,1
102,How do I participate in peer-to-peer feedback,We will use a tool called Peer Feedback -- peerfeedback.gatech.edu -- to give peer-to-peer feedback in this class.,We will use a tool called Peer Feedback -- peerfeedback.gatech.edu -- to give peer-to-peer feedback in this class.,,1,59,1
103,How often will I be required to provide peer-to-peer feedback,You will give peer-to-peer feedback to your classmates on all six assignments (including the three you do not personally complete) and on all three project reflections.,You will give peer-to-peer feedback to your classmates on all six assignments (including the three you do not personally complete) and on all three project reflections.,,1,60,1
104,How does peer-to-peer feedback impact our grade on the assignment,"Peers will evaluate one another on the same rubric that graders will use; however, the scores you assign to your peers will not factor into their actual grades on the assignment.","Peers will evaluate one another on the same rubric that graders will use; however, the scores you assign to your peers will not factor into their actual grades on the assignment.",,1,61,1
105,Do the TAs look at the feedback,TAs will see the feedback you give to your peers in order to ensure that all students receive adequate feedback.,TAs will see the feedback you give to your peers in order to ensure that all students receive adequate feedback.,,1,62,1
106,How much of my grade depends on completing peer feedback,Completing peer feedback exercises is 8% of your average.,Completing peer feedback exercises is 8% of your average.,,1,63,1
107,Does the quality of feedback I provide matter,"Your peer feedback average will be determined not only based on whether or not you completed all assigned peer feedback exercises, but also based on the quality of the feedback you provided as evaluated by the TAs and by the recipients of the feedback.","Your peer feedback average will be determined not only based on whether or not you completed all assigned peer feedback exercises, but also based on the quality of the feedback you provided as evaluated by the TAs and by the recipients of the feedback.",,1,64,1
108,How will the exams be distributed,"Both exams will be an unproctored, untimed, take-home"" tests.""","Both exams will be an unproctored, untimed, take-home"" tests.""",,1,65,1
109,What format will the exams be given in,Both exams will consist of a number of different questions asking you to synthesize multiple parts of the course material.,Both exams will consist of a number of different questions asking you to synthesize multiple parts of the course material.,,1,66,1
110,What are the ways in which new class information will be sent,A T-Square announcement with an email notification and a pinned Piazza announcement in the ‘announcements’ folder with an email notification.,A T-Square announcement with an email notification and a pinned Piazza announcement in the ‘announcements’ folder with an email notification.,,1,67,1
111,How often should you check your Georgia Tech email,Once every 24 hours,Once every 24 hours,,1,68,1
112,Where should you preferably post your questions,Piazza,Piazza,,1,69,1
113,What questions are better suited for office hours,Conversational discussions on course material and discussions about individuals' grades.,Conversational discussions on course material and discussions about individuals' grades.,,1,70,1
114,Why is Piazza preferred for asking questions related to the class,Posting on piazza opens up the question to input from everyone in the class and creates a self-documenting history of the answer to the question.,Posting on piazza opens up the question to input from everyone in the class and creates a self-documenting history of the answer to the question.,,1,71,1
115,Why do we use Piazza,I do not know.,Posting on piazza opens up the question to input from everyone in the class and creates a self-documenting history of the answer to the question.,,-0.5,25,0.327272727
116,How often will office hours be held,Weekly,Weekly,,1,72,1
117,How frequent are office hours held,Weekly,Weekly,,1,72,0.615384615
118,Will office hours be recorded and posted,"No, but if there is anything relevant to the whole class it will be recorded and posted on Piazza","No, but if there is anything relevant to the whole class it will be recorded and posted on Piazza",,1,73,1
119,How should you reach out to instructors about private issues like grades,Post a private Piazza message visible only to the instructors,Post a private Piazza message visible only to the instructors,,1,74,1
120,How will I be able to participate in office hours,Via the Webex link available on Piazza,Via the Webex link available on Piazza,,1,75,1
121,How can I join office hours,You may find information on contacting the Dean of Students with regard to personal emergencies here: https://studentlife.gatech.edu/content/class-attendance,Via the Webex link available on Piazza,,-0.5,88,0.571428571
122,How do I join office hours,Via the Webex link available on Piazza,Via the Webex link available on Piazza,,1,75,0.55
123,How can I participate in office hours,Via the Webex link available on Piazza,Via the Webex link available on Piazza,,1,75,0.752941176
124,How can I attend office hours,You may find information on contacting the Dean of Students with regard to personal emergencies here: https://studentlife.gatech.edu/content/class-attendance,Via the Webex link available on Piazza,,-0.5,88,0.571428571
125,What is the purpose of office hours,"Synchronous office hours are intended for conversations about individual projects, discussions about course material, etc. rather than straightforward question and answer.","Synchronous office hours are intended for conversations about individual projects, discussions about course material, etc. rather than straightforward question and answer.",,1,76,1
126,Where will exemplary assignments be posted,"Exemplary assignments, once available, will be posted on piazza for everyone to see.","Exemplary assignments, once available, will be posted on piazza for everyone to see.",,1,77,1
127,What is the point of posting exemplary assignments,"From previous semesters, we have found that posting exemplary assignments allow for greater peer-to-peer learning and fosters a community of learners.","From previous semesters, we have found that posting exemplary assignments allow for greater peer-to-peer learning and fosters a community of learners.",,1,78,1
128,Is late work accepted,"Due to the size of the class and limited resources, late work will not be accepted.","Due to the size of the class and limited resources, late work will not be accepted.",,1,79,1
129,What should I do if I am having issues submitting my work,"If you are having issue submitting on T-square, immediately post a private note on Piazza with your submission.","If you are having issue submitting on T-square, immediately post a private note on Piazza with your submission.",,1,80,1
130,What if I have an emergency and cannot submit my work on time,"If you have an emergency and cannot submit your work by the deadline, we ask that you go through the Dean of Student's office","If you have an emergency and cannot submit your work by the deadline, we ask that you go through the Dean of Student's office",,1,81,1
131,What kind of issues can I bring up to the Dean of Student's office,"Justifiable excuses would involve any major unforeseen disruption to your classwork such as illness, injuries, death, and birth, all for either you or your family","Justifiable excuses would involve any major unforeseen disruption to your classwork such as illness, injuries, death, and birth, all for either you or your family",,1,82,1
132,What kind of conflict am I liable for,"Conflicts such as weddings, business trips, and conference, you should complete your work in advance. That is why all of the assignments and project resources are provided to you at the start of the semester.","Conflicts such as weddings, business trips, and conference, you should complete your work in advance. That is why all of the assignments and project resources are provided to you at the start of the semester.",,1,83,1
133,Is this course the same as the previous semesters,No. every semester is a learning experience. Each subsequent semesters benefit from the lessons learned the previous semesters.,No. every semester is a learning experience. Each subsequent semesters benefit from the lessons learned the previous semesters.,,1,84,1
134,Can I provide the teaching staff feedback on how I think that the course is going,"Absolutely! In fact, we encourage students to provide feedback on things that work, and things that could be done better.","Absolutely! In fact, we encourage students to provide feedback on things that work, and things that could be done better.",,1,85,1
135,How can I provide feedback,"You may take advantage of the feedback box on Piazza, as well as the surveys we will send out over the course of the semester.","You may take advantage of the feedback box on Piazza, as well as the surveys we will send out over the course of the semester.",,1,86,1
136,How many surveys will there be,"There will be 4 surveys. 3 will be administered throughout the course, and the 4th will be administered by Georgia Tech via CIOS.","There will be 4 surveys. 3 will be administered throughout the course, and the 4th will be administered by Georgia Tech via CIOS.",,1,87,1
137,How can I contact the Dean of Student's office,You may find information on contacting the Dean of Students with regard to personal emergencies here: https://studentlife.gatech.edu/content/class-attendance,You may find information on contacting the Dean of Students with regard to personal emergencies here: https://studentlife.gatech.edu/content/class-attendance,,1,88,1
138,What if my conflict falls during the final,"If your conflict falls during final exams, please let us know immediately and in advance so that we may work with you.","If your conflict falls during final exams, please let us know immediately and in advance so that we may work with you.",,1,89,1
139,When are assignments due,"All assignments are due at the end of the week, on Sunday at midnight UTC-12 (Anywhere On Earth time). This translates to an early-morning Monday deadline in the Americas, a midday Monday deadline in Europe, etc. If for example, Assignment 1 were due on January 22nd at midnight UTC-12, which translates to Monday, January 23rd at 7AM Eastern time, 4AM Pacific time. Precise due dates and times can be found in T-Square on each assignment page. Make sure to set T-Square to your local time zone to see due dates in your time","All assignments are due at the end of the week, on Sunday at midnight UTC-12 (Anywhere On Earth time). This translates to an early-morning Monday deadline in the Americas, a midday Monday deadline in Europe, etc. If for example, Assignment 1 were due on January 22nd at midnight UTC-12, which translates to Monday, January 23rd at 7AM Eastern time, 4AM Pacific time. Precise due dates and times can be found in T-Square on each assignment page. Make sure to set T-Square to your local time zone to see due dates in your time",,1,90,1
140,Where can I find the course calendar,https://docs.google.com/document/d/1YUnl-NbNycN3GfzK8BXO0qxW6wdKT1sKhO-p028Fl18/edit,https://docs.google.com/document/d/1YUnl-NbNycN3GfzK8BXO0qxW6wdKT1sKhO-p028Fl18/edit,,1,91,1
141,Where is the course syllabus,I do not know.,https://docs.google.com/document/d/1YUnl-NbNycN3GfzK8BXO0qxW6wdKT1sKhO-p028Fl18/edit,,-0.5,15,0.444444444
142,Where can I find assignment 1,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,92,1
143,Where is assignment 1's rubric,Week of August 28th,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,-0.5,98,0.6
